,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0097113,BP,AMPA glutamate receptor clustering,9,8,0.000415695,1,DLG4;NLGN1;SLC7A11;APOE;SHISA6;SSH1;SHISA7;SHANK3
GO:0097688,BP,glutamate receptor clustering,9,8,0.000415695,1,DLG4;NLGN1;SLC7A11;APOE;SHISA6;SSH1;SHISA7;SHANK3
GO:0044794,BP,positive regulation by host of viral process,13,9,0.000620151,1,CFL1;TBC1D20;STOM;APOE;IGF2R;PC;YTHDC2;CAV2;ZNF502
GO:0072683,BP,T cell extravasation,10,7,0.000659246,1,RIPK3;CRKL;ICAM1;ITGAL;F11R;CCR2;FADD
GO:0097435,BP,supramolecular fiber organization,705,227,0.000808312,1,USH1C;ARPC4;ARPC2;AKAP9;SORBS3;TENM1;CDKN1B;KATNB1;DLC1;BAIAP2;PFDN6;NEBL;ARFGEF1;SORBS1;CDC42EP3;CFL1;NCKAP1;WASF3;TUBGCP2;FERMT2;RIPK3;TPPP;TRIOBP;CORO1A;FAM107A;AKAP13;PARK7;SYNPO;ARAP1;SLAIN1;TPPP2;CCR7;KIF19;COL1A1;COL2A1;COL5A1;COL11A1;COL11A2;COL13A1;SHROOM1;RFLNA;CSNK1D;TTBK2;CSRP1;CCDC13;CEP120;CYP1B1;DAPK3;AEBP1;XIRP1;DIAPH1;DLG1;EMP2;CTTN;C9orf72;DMTN;EXT1;PTK2B;PHACTR1;ALDOA;PPM1E;RUFY3;MSRB2;TPX2;LIMCH1;MPRIP;KANK1;CYFIP1;COBL;CLASP1;COTL1;EML2;SPEF1;IFT172;GHSR;CYFIP2;CCDC57;GPX1;RGCC;CTNNA3;GSN;ANXA2;HCK;HIP1;HSPA1A;APOA1;ICAM1;FMN1;NCKAP5;APOE;ILK;INPPL1;ITGB5;JAK2;KRT8;RHOB;RHOC;LDLR;STMND1;ARL2;LTBP3;TACSTD2;MAP1B;MAPT;MDM2;MET;MMP11;MZT1;CCDC88C;MYO1F;MYO1C;MYO1E;MYO6;MYO7B;NCK1;NEB;NEDD9;NEFM;NF1;FURIN;PAFAH1B1;COL5A3;PAK1;PRKN;HDGFL3;F11R;VILL;STMN3;SHANK1;NIN;HOOK1;PDGFRA;TPPP3;PIK3R1;PLEC;SSH1;NDE1;ARHGEF10L;MAP1S;CARMIL1;ENAH;PRKCE;CENPJ;BIN3;MYO5C;BAIAP2L1;PSEN1;SPIRE1;PTGER4;ERMN;MICAL3;CEP126;PREX1;CAMSAP3;SHTN1;SPTBN4;PXN;RB1;TRPV4;TRIM27;RGS4;VIPAS39;SFRP1;PLEKHG2;BMP1;SLC9A1;DST;SPTB;SRC;SVIL;TBCD;TCHH;TLL2;ACTG1;TNNT3;TNXB;TPM3;TPM4;HSP90B1;COL14A1;VASP;WIPF1;CLIP2;ALMS1;FSD1;CLIP4;ARHGAP28;SYNPO2L;ANKRD53;FHOD3;DIAPH3;CAPN3;CAPZA1;CAPZA2;CAPZB;LOXL4;BFSP2;SPATC1L;SPIRE2;CUL3;LOXL3;SORBS2;CORO6;CGNL1;PPFIA1;GAS7;SHANK3;TUBGCP6;SSH2;SCIN;ACTN1;ACTN2;ARHGEF7;BMERB1;SEMA5A;PSTPIP2;MCU;PDLIM1;MYADM;MYOM2;ARHGAP12;CD36;ADAMTS3;ADAMTS2;BAG4;BCAR1;CD47;ARHGEF10;MICAL2;MTSS1;ELMO1;RHOBTB1;CDC42
GO:0007417,BP,central nervous system development,973,308,0.000914734,1,BCL2L11;COX17;CDH11;CDK6;DLC1;ADARB1;BAIAP2;TACC3;SEMA6B;ANP32B;TACC2;CENPF;IGF2BP1;LBX1;NCKAP1;WASF3;FRS2;TUBGCP2;SLC38A3;VAX1;TPPP;PADI2;CKB;DBX1;FOXN4;SEZ6;CNP;CNTN1;COL2A1;COL4A1;CLDN3;CRKL;HAPLN1;CSK;CSNK1D;HAPLN3;TTBK2;NCAN;RTN4RL1;CTNS;GDF7;CNTN4;DAB2IP;CEP120;AK8;DAB1;DCC;ABAT;ATN1;E2F1;EGFR;EGR2;ABCA2;EML1;EPHB2;AK4;EPHB6;AKT1;ETS1;EXT1;ACSL3;BPTF;PHACTR1;FGF8;ZNF365;MAST1;NCOA6;FOXO3;ZNF423;KDM6B;SATB2;SZT2;SUN1;DAAM2;PLXNB2;SLC7A11;ALK;FYN;XRCC6;GABRA5;GABRB1;WHRN;SIN3A;TSKU;C2CD3;TENM4;CNTNAP2;IFT172;PHGDH;MDGA1;GDNF;GHRHR;DISC1;GLI3;HTRA2;GNAO1;GRIK1;GRIN1;GRIN2A;GRIN2B;GSN;GSTP1;RAX;NRG1;HMGCS1;HMX2;APAF1;CCDC85C;HOXA2;HOXB1;HOXB2;HOXB3;HOXB8;HSP90AA1;APLP1;HSPG2;HTR6;ATXN1L;ISL1;JARID2;KCNA1;DRAXIN;NRROS;KCNJ10;KIF5B;KRAS;LDLR;ASIC2;LMX1A;PHOX2A;LRP1;LYN;ARRB2;MAPT;MBP;ZFHX3;ATIC;RERE;NF1;NGFR;ATP1B2;NKX2-2;NNAT;NODAL;NPAS1;NPAS2;NTRK3;ROR2;ATP2B4;OGDH;OTX1;OXCT1;PAFAH1B1;PAK1;PRKN;PAX2;PAX5;PBX1;PBX3;PCDH9;TMX2;LEF1;NIN;PFKFB3;ATP5PF;PITX3;SHC3;PLXNA2;SNTG2;POU1F1;PCDH18;POU3F2;DLL4;KIF1A;HYDIN;NDE1;ODAD2;ELP3;MAP1S;MACO1;PPP3CA;SCYL2;PRKG1;MAPK1;GNG12;PDGFC;PSEN1;BARHL1;MEIS3;CA10;UTP3;ZMIZ1;BAD;PTCH1;NDRG2;DHX37;ZSWIM6;SPTBN4;GRHL3;PTPRG;PTPRS;PTPRZ1;RARB;RGS4;RHEB;HAPLN2;ROBO1;RORA;S100A1;S100A9;S100B;ATXN1;SCTR;BCAN;NEUROD6;SELENOP;SFRP1;TRA2B;CHST8;BMI1;ISL2;SIX1;SKI;BMP4;SLC8A1;SLC8A3;SLIT1;SOS1;SOX12;SPOCK1;SRC;SRD5A1;BRCA2;STAR;STK3;SYT1;TACC1;TAL1;TAL2;TBX1;CNTN2;TFAP2A;NR2F2;TIMP4;NR2E1;TNF;TP53;TP73;C3;TRIO;UBE3A;UGT8;TRPV1;MYRF;WNT7A;WNT7B;WNT2B;WRN;ZIC1;ZBTB16;BTG2;PAX8;BAG6;THOC6;NDNF;DYNC2H1;SPEF2;WLS;SEMA6D;CALM1;LHX3;CALM2;AKNA;PBX4;TMEM14B;CASP2;TRAPPC9;B3GNT5;ZIC4;POMK;KIRREL3;TTBK1;GLIS2;KDM2B;LOXL3;AGBL4;CNTNAP1;ITGA8;SHANK3;KNDC1;DIXDC1;SCIN;B4GALT2;EED;ALDH1A2;LDB1;SYNJ2;WNT3A;NAV2;BMERB1;KALRN;SEMA5A;ACVR1B;SYNGR3;NEURL1;PLXNA4;DLG5;NUMBL;DNER;OPALIN;LHX2;FOXP2;BAG3;NR1D1;PITPNM1;CELSR1;AATK;TOX;CDC42;CDH1
GO:0007229,BP,integrin-mediated signaling pathway,104,45,0.001103901,1,CDH17;ADAM10;FERMT2;COL16A1;EMP2;DMTN;PTK2B;ITGA11;FN1;FUT8;FYB1;LAT;HCK;APOA1;ILK;ITGA7;ITGA9;ITGAE;ITGAL;ITGAV;ITGAX;ITGB2;ITGB4;ITGB5;LAMA3;LIMS1;MYH9;NEDD9;NME2;FERMT1;LIMS2;RCC2;PTK2;PHACTR4;DST;SRC;TEC;THY1;MPIG6B;CCM2;CUL3;LOXL3;ITGA8;BCAR1;CD47;CDC42
GO:0048706,BP,embryonic skeletal system development,119,49,0.001430842,1,OSR2;COL1A1;COL2A1;COL11A1;DLG1;MEGF8;EXT1;FGF8;SULF1;SATB2;MTHFD1L;SLC39A1;GLI3;HOXA2;HOXA3;HOXA4;HOXA7;HOXB1;HOXB2;HOXB3;HOXB5;HOXB6;HOXB8;HOXC4;SMAD2;MMP14;MTHFD1;NODAL;CHST11;PAX5;PBX1;PDGFRA;MBTD1;DYNC2I1;SULF2;KIAA1217;NKX3-2;XYLT1;SHOX2;BMI1;SIX1;BMP4;TBX1;TFAP2A;WNT9A;PCGF2;FUZ;RUNX2;ACVR2A;IFT140
GO:0044788,BP,modulation by host of viral process,26,13,0.001446903,1,CFL1;TBC1D20;CRP;STOM;APCS;APOE;IGF2R;PRKN;PC;YTHDC2;ZC3H12A;CAV2;ZNF502
GO:0048705,BP,skeletal system morphogenesis,217,81,0.001449251,1,FOXN3;OSR2;COL1A1;COL2A1;COL11A1;COL13A1;RIPPLY2;RFLNA;FREM1;PHOSPHO1;DLG1;MEGF8;EXT1;FGF4;FGF8;FGFR1;SATB2;ALPL;MTHFD1L;TIPARP;TSKU;GHR;SLC39A1;GLI3;ANKRD11;HOXA2;HOXA3;HOXA4;HOXA7;HOXB1;HOXB2;HOXB3;HOXB5;HOXB6;HOXB8;HOXC4;FMN1;INPPL1;IFITM5;LRP5;LTBP3;SMAD2;MMP2;MMP14;MTHFD1;NAB1;NODAL;ROR2;CHST11;PAX5;PDGFRA;WWOX;DYNC2I1;SMPD3;PSEN1;NKX3-2;RARB;TRPV4;PAPPA2;SFRP1;HHIP;SHOX2;BMI1;BMP1;SIX1;SKI;BMP4;BMP6;SOX5;TBX1;TEK;TFAP2A;THRA;WNT7A;PCGF2;SPEF2;FUZ;RAB33B;ARID5B;RUNX2;TBX4;IFT140
